productCode,productName,productLine,quantityInStock,buyPrice,MSRP,quantite_vendue,niveau_stock
S24_2000,1960 BSA Gold Star DBD34,Motorcycles,15,37.32,76.17,1015.0,Normal
S12_1099,1968 Ford Mustang,Classic Cars,68,95.34,194.57,909.0,Élevé
S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,136,33.02,68.79,846.0,Élevé
S32_1374,1997 BMW F650 ST,Motorcycles,178,66.92,99.89,920.0,Élevé
S72_3212,Pont Yacht,Ships,414,33.3,54.6,850.0,Élevé
S18_2248,1911 Ford Town Car,Vintage Cars,540,33.3,60.54,790.0,Élevé
S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,548,72.56,168.75,880.0,Élevé
S700_3167,F/A 18 Hornet 1/72,Planes,551,54.4,80.0,904.0,Élevé
S50_4713,2002 Yamaha YZR M1,Motorcycles,600,34.17,81.36,992.0,Élevé
S700_1938,The Mayflower,Ships,737,43.3,86.61,791.0,Élevé
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,814,33.61,64.64,988.0,Élevé
S18_2581,P-51-D Mustang,Planes,992,49.0,84.48,851.0,Élevé
S24_1046,1970 Chevy Chevelle SS 454,Classic Cars,1005,49.24,73.49,777.0,Élevé
S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,1016,68.29,115.75,979.0,Élevé
S12_3891,1969 Ford Falcon,Classic Cars,1049,83.05,173.02,921.0,Élevé
S18_4721,1957 Corvette Convertible,Classic Cars,1249,69.93,148.8,1013.0,Élevé
S24_2887,1952 Citroen-15CV,Classic Cars,1452,72.82,117.44,814.0,Élevé
S12_1666,1958 Setra Bus,Trucks and Buses,1579,77.9,136.67,972.0,Élevé
S50_1514,1962 City of Detroit Streetcar,Trains,1645,37.49,58.58,945.0,Élevé
S700_1138,The Schooner Bluenose,Ships,1897,34.0,66.67,818.0,Élevé
S24_2011,18th century schooner,Ships,1898,82.34,122.89,887.0,Élevé
S18_3278,1969 Dodge Super Bee,Classic Cars,1917,49.05,80.41,974.0,Élevé
S700_3505,The Titanic,Ships,1956,51.09,100.17,870.0,Élevé
