productCode,productName,productLine,productVendor,quantite_totale,chiffre_affaires,prix_moyen,nombre_commandes,nombre_clients
S18_3232,1992 Ferrari 360 Spider red,Classic Cars,Unimax Art Galleries,1748.0,268068.18,152.572745,51,38
S18_1342,1937 Lincoln Berline,Vintage Cars,Motor City Art Classics,1111.0,102563.52,92.099286,28,25
S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,Min Lin Diecast,1057.0,90157.77,85.174286,28,26
S12_4473,1957 Chevy Pickup,Trucks and Buses,Exoto Designs,1056.0,109946.21,103.902143,28,21
S18_2949,1913 Ford Model T Speedster,Vintage Cars,Carousel DieCast Legends,1038.0,97193.88,93.423214,28,26
S24_1578,1997 BMW R 1100 S,Motorcycles,Autoart Studio Design,1033.0,105266.64,101.953571,28,25
S12_2823,2002 Suzuki XREO,Motorcycles,Unimax Art Galleries,1028.0,135767.03,132.168929,28,25
S24_2000,1960 BSA Gold Star DBD34,Motorcycles,Highway 66 Mini Classics,1015.0,67193.49,66.16,28,25
S18_4721,1957 Corvette Convertible,Classic Cars,Classic Metal Creations,1013.0,130749.31,129.290741,27,21
S24_3856,1956 Porsche 356A Coupe,Classic Cars,Classic Metal Creations,1013.0,129749.86,128.763462,26,21
S18_4600,1940s Ford truck,Trucks and Buses,Motor City Art Classics,1012.0,109249.0,108.209259,27,24
S700_4002,American Airlines: MD-11S,Planes,Second Gear Diecast,1010.0,66834.38,66.002308,26,25
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,Exoto Designs,1008.0,96742.15,96.586154,26,25
S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,Unimax Art Galleries,1007.0,112701.66,111.276296,27,21
S10_2016,1996 Moto Guzzi 1100i,Motorcycles,Highway 66 Mini Classics,999.0,109998.82,110.018929,28,26
S18_1097,1940 Ford Pickup Truck,Trucks and Buses,Studio M Art Models,999.0,105563.12,105.503214,28,25
S700_2824,1982 Camaro Z28,Classic Cars,Carousel DieCast Legends,997.0,89272.65,89.408929,28,22
S18_4668,1939 Cadillac Limousine,Vintage Cars,Studio M Art Models,995.0,44037.84,44.308929,28,23
S50_4713,2002 Yamaha YZR M1,Motorcycles,Autoart Studio Design,992.0,73670.64,74.369259,27,24
S18_3320,1917 Maxwell Touring Car,Vintage Cars,Exoto Designs,992.0,87637.63,88.296429,28,24
